canonical_name,alternate_01,alternate_02,alternate_03,alternate_04,alternate_05
AC Transit,AC Transit [EXPRESS],AC Transit [LOCAL],,,
ACE,ACE Altamont Corridor Express,CE,,,
Amtrak,AM,,,,
BART,Bay Area Rapid Transit,bart,,,
Blue & Gold Fleet,,,,,
Caltrain,caltrain,caltrain-ca-us,,,
Capitol Corridor,Capitol,,,,
City Coach,,,,,
Cloverdale Transit,,,,,
Commute.org Shuttle,,,,,
County Connection,County Connection/Central Contra Costa Transit,,,,
County Connection,,,,,
Delta Breeze,,,,,
Emery Go-Round,,,,,
Fairfield and Suisun Transit,FAST,Fairfield and Suisun Transit (FAST),FAST [EXPRESS],FAST [LOCAL],
Golden Gate Transit,Golden Gate Ferry,Golden Gate Transit [EXPRESS],Golden Gate Transit [FERRY],,
LAVTA,Livermore Amador Valley Transit (LAVTA),Wheels Bus,,,
Marin Transit,Marin County Transit,,,,
MVgo Mountain View,,,,,
Napa Vine,Napa Valley (VINE),Vine (Napa County),,,
Petaluma Transit,,,,,
Rio Vista Delta Breeze,,,,,
SamTrans,San Mateo County Transit,SamTrans [EXPRESS],SamTrans [LOCAL],,
San Francisco Bay Ferry,SF Bay Ferry/WETA,WETA,,,
Santa Rosa CityBus,,,,,
SF Muni,San Francisco Municipal Transportation Agency,SF Muni [LOCAL],SF Muni [LRT],,
Soltrans,Solano County Transit,SolTrans,Soltrans [EXPRESS],Soltrans [LOCAL],
Sonoma County Transit,,,,,
Sonoma-Marin Area Rail Transit,SMART,,,,
Stanford Marguerite Shuttle,,,,,
TriDelta,TriDelta Transit,,,,
Union City Transit,,,,,
Vacaville City Coach,,,,,
VTA,SCVTA,SCVTA LRT,VTA [EXPRESS],VTA [LOCAL],VTA [LRT]
WestCAT,Western Contra Costa Transit (WestCAT),WestCat (Western Contra Costa),WestCAT [EXPRESS],WestCAT [LOCAL],